cmd,alias,cmdline,comment,group,from,tag
"openx","s,ss,x","openx","选中文本内容作为参数运行-命令","Function","[7] xfold.ini","xfold.ini"
"preview","xview","preview","文件预览-文件名","Function","[7] xfold.ini","xfold.ini"
"process","p","process","复制活动窗口进程名称","Function","[7] xfold.ini","xfold.ini"
"proxyCmd","tcmd","proxyCmd","新增命令别名","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"run","r","run","xfold打开/运行-命令行","Function","[7] xfold.ini","xfold.ini"
"safeActivate","activate","safeActivate","打开应用-若已打开则激活窗口","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"savethere","","xedit({%s:apath}/readme@xfold.md);delay(600,send,^{home}^v{enter}+{home} {bs}{enter})","保存剪贴板文本到文件-在当前目录","Cmds","[5] mixins\a1-adv\explorer\xfold-explorer.ini","xfold-explorer.ini"
"set","","xedit(D:\Development\xfold-dist\xfold\xfold.ini)","命令行配置-xfold.ini","Cmds-default","[7] xfold.ini","xfold.ini"
"sets","","find ext:ini path:%xfold% xfold {%p};send({enter},600)","命令行配置文件搜索-关键词","Cmds","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"slist","","alert(getSettingsFileList())","xfold命令行配置文件列表","Cmds","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"so-off","","unbindAllSwitchOnKeys;sokeys","SwitchOn+配置-全部禁用","Cmds","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"so-on","","bindAllSwitchOnKeys;sokeys","SwitchOn+配置-全部启用","Cmds","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"sokey","","alert(getSwitchOnKeysTips({%p}))","SwitchOn+配置-搜索","Cmds","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"sokeys","","alert(getSwitchOnKeysTips())","所有SwitchOn+配置","Cmds","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"spaceFn_toggleOnOff","sfn","spaceFn_toggleOnOff","空格作为LButton-切换开关 (已知问题 输入法输入有影响)","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"title2run","t,tt","nothing({%s:tt>x});delay(100,openc,{%p})","窗口标题作为参数运行","Cmds-default","[7] xfold.ini","xfold.ini"
"toggleSwitchOn","so","toggleSwitchOn","SwitchOn-切换开关","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"toggleVLBtnEnabled","lbtn","toggleVLBtnEnabled","LButton-切换开关","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"unbindKey","unbind","unbindKey","快捷键取消绑定","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"unhide","","%xfold%\tools\WinCtl.exe unhide -hidden","取消隐藏窗口","Cmds","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"unhideall","","%xfold%\tools\WinCtl.exe unhide all -hidden","取消隐藏所有窗口","Cmds","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"values","","xedit C:\Users\leexioua\AppData\Local\Temp\xfold.values.ini","打开本地配置项","Cmds-default","[7] xfold.ini","xfold.ini"
"vgo","v","vgo","执行vgo命令-%Temp%/xfold.values.ini-命令","Function","[7] xfold.ini","xfold.ini"
"wiki","wk","https://en.wikipedia.org/wiki/{%p}","WiKi搜索-EN-关键词","Cmds","[7] xfold.ini","xfold.ini"
"winmax","max","winmax","窗口最大化","Function","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"winmin","min","winmin","窗口最小化","Function","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"winrestore","restore","winrestore","窗口还原","Function","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"winTopToggle","top","winTopToggle","窗口置顶","Function","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"wx","","https://weixin.sogou.com/weixin?type=2&query={%p}","微信文章搜索-搜狗-关键词","Cmds","[7] xfold.ini","xfold.ini"
"xedit","a","xedit","文本编辑器打开-文件名","Function","[7] xfold.ini","xfold.ini"
"ygen","yg","https://youglish.com/pronounce/{%p}/english?","Youglish搜索-英语频道-关键词","Cmds","[7] xfold.ini","xfold.ini"
"youdao","e,en","https://youdao.com/result?lang=en&word={%p}","英语搜索-有道-关键词","Cmds","[7] xfold.ini","xfold.ini"
"youtube","y,you","https://www.youtube.com/results?search_query={%p}","Youtube搜索-关键词","Cmds","[7] xfold.ini","xfold.ini"
"zhihu","z,zh","https://www.zhihu.com/search?type=content&q={%p}","知乎搜索-关键词","Cmds-default","[7] xfold.ini","xfold.ini"
